Date,Description,Out,In,Transfer Account
6/28/2024,sayote,130.0,,Expenses:Food:Groceries
6/28/2024,luya,70.0,,Expenses:Food:Groceries
6/28/2024,bockhoy,70.0,,Expenses:Food:Groceries
6/28/2024,garlic,90.0,,Expenses:Food:Groceries
6/28/2024,cherry tomato,160.0,,Expenses:Food:Groceries
6/28/2024,lemon ,120.0,,Expenses:Food:Groceries
6/28/2024,dragon fruits,195.0,,Expenses:Food:Groceries
6/28/2024,pinya,190.0,,Expenses:Food:Groceries
6/28/2024,cauliflower,260.0,,Expenses:Food:Groceries
6/28/2024,asparagus,390.0,,Expenses:Food:Groceries
6/28/2024,french beans,120.0,,Expenses:Food:Groceries
6/28/2024,pampano,580.0,,Expenses:Food:Groceries
6/28/2024,tilapya ,430.0,,Expenses:Food:Groceries
6/28/2024,prawns,1550.0,,Expenses:Food:Groceries
6/28/2024,talakitok,730.0,,Expenses:Food:Groceries
6/29/2024,withdraw,,10000.0,Assets:Current Assets:Banks Local:BPI ATM House
6/29/2024,elmer,1000.0,,Expenses:Housing:Gardening
6/29/2024,plant shop & taxi,3100.0,,Expenses:Transportation:Public
6/29/2024,fertilizer,900.0,,Expenses:Food:Groceries
6/29/2024,ara food allowance,1000.0,,Liabilities:Other:Ara Loan:Allowance
6/29/2024,michelle food allowance,1000.0,,Liabilities:Other:Michelle Loan:Allowance
6/29/2024,mam B,60.0,,Expenses:Transportation:Parking
6/29/2024,ARC,600.0,,Expenses:Utilities:Drinking Water
6/29/2024,Summit,820.0,,Expenses:Utilities:Drinking Water
6/29/2024,True Value Pool Bulb,973.0,,Expenses:Household Supplies
