Date,Description,Out,In,Balance,Calculated balance,Diff,Day,Week,transaction_source,predicted_category,confidence
9/12/2025,tennis ,2150.0,,,6094,,,,household,Expenses:Health:Sports,0.8061828531149455
9/12/2025,Gym Renewal Gio/Rheyson,1000.0,,,5094,,,,household,Expenses:Health:Sports,0.8685046566335042
9/12/2025,withdraw ,,20000.0,,25094,,,,household,Assets:Current Assets:Banks Local:BPI ATM House,0.9206655007989518
9/12/2025,santis rider ,250.0,,,24844,,,,household,Expenses:Professional Fees,0.7791831334567165
9/12/2025,milk ,828.0,,,24016,,,,household,Expenses:Food:Groceries,0.6543816949887199
9/12/2025,asparagus ,268.0,,,23748,,,,household,Expenses:Food:Groceries,0.5018215827883884
9/12/2025,feta cheese ,291.0,,,23457,,,,household,Expenses:Food:Groceries,0.654734029220835
9/12/2025,manchego cheese ,435.0,,,23022,,,,household,Expenses:Food:Groceries,0.6627010420567396
9/12/2025,forest ham ,166.0,,,22856,,,,household,Expenses:Food:Groceries,0.6146716360923914
9/12/2025,rice ,1200.0,,,21656,,,,household,Expenses:Food:Groceries,0.3946109095250907
9/12/2025,pandesal ,150.0,,,21506,,,,household,Expenses:Food:Groceries,0.197066328401543
9/12/2025,luya ,100.0,,,21406,,,,household,Expenses:Food:Groceries,0.4188271513982524
9/12/2025,lemon ,100.0,,,21306,,,,household,Expenses:Food:Groceries,0.6202249766137953
9/12/2025,pomelo ,230.0,,,21076,,,,household,Expenses:Food:Groceries,0.5614178674074384
9/12/2025,grapes ,360.0,,,20716,,,,household,Expenses:Food:Groceries,0.4862950104536661
9/12/2025,bangus ,500.0,,,20216,,,,household,Expenses:Food:Groceries,0.4806336250514455
9/12/2025,flowers ,550.0,,,19666,,,,household,Expenses:Food:Groceries,0.3103271973168712
9/12/2025,eggs ,430.0,,,19236,,,,household,Expenses:Food:Groceries,0.2107164551908113
9/12/2025,apple ,150.0,,,19086,,,,household,Expenses:Food:Groceries,0.6279991296797853
9/12/2025,orange ,100.0,,,18986,,,,household,Expenses:Food:Groceries,0.492737857605803
9/12/2025,romaine ,480.0,,,18506,,,,household,Expenses:Food:Groceries,0.5666799794388246
9/12/2025,spinach ,240.0,,,18266,,,,household,Expenses:Food:Groceries,0.4272355195970754
