iter	Passed	Remaining
548	81466	1134149
549	81570	1133387
550	81675	1132630
551	81779	1131881
552	81883	1131119
553	81990	1130401
554	82092	1129626
555	82195	1128857
556	82298	1128101
557	82399	1127308
558	82501	1126537
559	82608	1125834
560	82717	1125160
561	82815	1124341
562	82916	1123563
563	83018	1122804
564	83121	1122066
565	83227	1121363
566	83330	1120624
567	83433	1119891
568	83537	1119163
569	83639	1118422
570	83742	1117691
571	83848	1116998
572	83950	1116258
573	84052	1115530
574	84155	1114803
575	84258	1114085
576	84361	1113367
577	84499	1113117
578	84601	1112386
579	84704	1111676
580	84809	1110990
581	84911	1110265
582	85017	1109600
583	85118	1108874
584	85220	1108161
585	85321	1107432
586	85422	1106708
587	85524	1105994
588	85627	1105305
589	85733	1104651
590	85837	1103975
591	85937	1103248
592	86041	1102577
593	86149	1101964
594	86254	1101296
595	86356	1100605
596	86469	1100055
597	86574	1099404
598	86679	1098763
599	86784	1098116
600	86907	1097693
601	87016	1097107
602	87118	1096417
603	87217	1095708
604	87317	1095002
605	87422	1094371
606	87526	1093716
607	87630	1093074
608	87731	1092396
609	87917	1092768
610	88042	1092391
611	88147	1091759
612	88258	1091211
613	88371	1090676
614	88477	1090073
615	88591	1089566
616	88694	1088910
617	88803	1088341
618	88914	1087804
619	89025	1087264
620	89136	1086720
621	89247	1086179
622	89355	1085609
623	89462	1085021
624	89576	1084522
625	89686	1083979
626	89791	1083364
627	89911	1082944
628	90025	1082449
629	90135	1081911
630	90251	1081448
631	90367	1080973
632	90484	1080524
633	90599	1080053
634	90707	1079494
635	90818	1078971
636	90926	1078408
637	91035	1077870
638	91142	1077305
639	91244	1076679
640	91347	1076071
641	91449	1075455
642	91552	1074854
643	91652	1074207
644	91755	1073604
645	91860	1073028
646	91961	1072414
647	92073	1071912
648	92174	1071294
649	92274	1070663
650	92384	1070160
651	92484	1069532
652	92592	1069000
653	92700	1068468
654	92806	1067914
655	92910	1067342
656	93010	1066713
657	93106	1066060
658	93205	1065426
659	93312	1064892
660	93418	1064349
661	93518	1063741
662	93645	1063435
663	93773	1063146
664	93879	1062604
665	93988	1062093
666	94087	1061486
667	94191	1060920
668	94292	1060333
669	94395	1059766
670	94498	1059200
671	94602	1058651
672	94708	1058119
673	94815	1057602
674	94923	1057092
675	95027	1056553
676	95132	1056011
677	95235	1055461
678	95469	1056351
679	95598	1056081
680	95702	1055537
681	95807	1055000
682	95918	1054539
683	96024	1054021
684	96127	1053468
685	96231	1052935
686	96340	1052457
687	96443	1051903
688	96547	1051368
689	96652	1050848
690	96752	1050280
691	96858	1049769
692	96972	1049348
